RPM_Left,RPM_Right,dist_Right_RPM,dist_Left_RPM,Pos_Left,Pos_Right,dist_Left_pos,dist_Right_pos,time_stamp
0,0,0.0,0.0,194,62,0,0,1709885558.3351836
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.3639
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.397773
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.4278443
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.4551728
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.4783134
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.5010583
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.5244493
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.5475974
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.5845683
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.608007
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.6316514
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.6568353
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.6830604
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.7130291
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.7377203
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.7645936
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.7903745
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.81398
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.8382256
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.8663821
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.890181
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.9247606
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.952669
0,0,0.0,0.0,194,62,0.0,0.0,1709885558.975665
0,0,0.0,0.0,194,62,0.0,0.0,1709885559.0039268
0,0,0.0,0.0,194,62,0.0,0.0,1709885559.030954
0,0,0.0,0.0,194,62,0.0,0.0,1709885559.0641866
0,0,0.0,0.0,194,62,0.0,0.0,1709885559.0879107
0,0,0.0,0.0,194,62,0.0,0.0,1709885559.1166756
0,0,0.0,0.0,194,62,0.0,0.0,1709885559.1437185
